P,PT1,PT2,PT3,PT4,,PT1,PT2,PT3,PT4
0,0.677947189,0.657346746,0.712424408,-0.000456065,,13.02086296,10.85103914,13.84798508,13.70666637
100,0.880776119,0.887261194,0.916806343,0.024768284,,89.56554745,97.65742575,90.19696396,89.6819477
200,1.169235714,1.152024675,1.209924837,0.06081039,,198.4259979,197.6213961,199.694399,198.2401183
300,1.426575229,1.394145872,1.452818349,0.092245872,,295.5421833,289.0365564,290.4297745,292.9232205
400,1.703238571,1.685778571,1.748661429,0.128517143,,399.9508997,399.1452558,400.945007,402.1716327
500,1.969918405,1.954036196,2.016036196,0.161200613,,500.5919853,500.4284733,500.825608,500.6136543
600,2.236469872,2.221553846,2.286094231,0.194632692,,601.1846273,601.4323062,601.7085709,601.3104702
700,2.49758141,2.484147436,2.553825,0.227058974,,699.7243194,700.5770134,701.7221599,698.9778444
800,2.768575591,2.756087402,2.818594488,0.261387402,,801.9935767,803.2505337,800.6295318,802.3744454
,,,,,,,,,
,,,,,,,,,
,,a,b,,,,,,
,1,377.3854375,-242.8265337,,,,,,
,2,377.5595104,-237.3364763,,,,,,
,3,373.5603094,-252.2854973,,,,,,
,4,3011.981888,15.08032615,,,,,,
