Time (microseconds),Temp (c) ,Pressure (Pa),Alt ASL (m),Chamber raw,Ox raw,Fuel raw,High Press raw,Voltage (V),,Time since beginning (us),Time since beginning (s),Alt AGL (m),Chamber (psi),Ox (psi),Fuel (psi),High press (psi),,,,,,,,,,,
2323442657,41.79,939.35,680.37,0.6597,0.6452,0.8578,-0.0002,24.32,,0,0,0,6.134639419,6.26491981,68.1545361,14.47792977,,,,,,,,,,,
2323514656,41.81,939.38,680.11,0.6598,0.6445,0.8578,-0.0014,24.32,,71999,0.071999,-0.26,6.172377963,6.000628153,68.1545361,10.86355151,,,,,,,,,,,
2323586655,41.81,939.17,681.96,0.6607,0.6463,0.8591,-0.0013,24.3,,143998,0.143998,1.59,6.512024856,6.680235272,68.64016451,11.1647497,,,,,,,,,,,
2323658656,41.81,939.59,678.25,0.6596,0.6451,0.8585,-0.0024,24.35,,215999,0.215999,-2.12,6.096900875,6.227163859,68.41602832,7.851569619,,,,,,,,,,,
2323730657,41.81,939.17,681.96,0.6598,0.6446,0.8581,-0.0004,24.32,,288000,0.288,1.59,6.172377963,6.038384104,68.2666042,13.87553339,,,,,,,,,,,
2323802656,41.81,939.38,680.11,0.661,0.6462,0.8595,-0.0005,24.36,,359999,0.359999,-0.26,6.625240488,6.64247932,68.78958863,13.57433521,,,,,,,,,,,
2323874655,41.81,939.38,680.11,0.6596,0.6449,0.8589,-0.0024,24.34,,431998,0.431998,-0.26,6.096900875,6.151651957,68.56545244,7.851569619,,,,,12V Values,,,,24V Values,,
2323946655,41.79,939.35,680.37,0.66,0.6445,0.8583,-0.0028,24.32,,503998,0.503998,0,6.24785505,6.000628153,68.34131626,6.646776864,,,,,,,,,,,
2324018654,41.81,939.38,680.11,0.6609,0.6463,0.8596,0.0007,24.32,,575997,0.575997,-0.26,6.587501944,6.680235272,68.82694466,17.18871347,,,,,,a,b,,,a,b
2324090654,41.81,939.38,680.11,0.6596,0.645,0.859,-0.001,24.35,,647997,0.647997,-0.26,6.096900875,6.189407908,68.60280847,12.06834426,,,,,1,379.5779242,-254.1467792,,1,377.3854375,-242.8265337
2324162655,41.81,939.38,680.11,0.6599,0.6452,0.859,-0.0033,24.32,,719998,0.719998,-0.26,6.210116506,6.26491981,68.60280847,5.14078592,,,,,2,378.3120511,-245.7410574,,2,377.5595104,-237.3364763
2324234654,41.81,939.38,680.11,0.661,0.6462,0.8596,-0.0004,24.35,,791997,0.791997,-0.26,6.625240488,6.64247932,68.82694466,13.87553339,,,,,3,376.2891849,-253.5007837,,3,373.5603094,-252.2854973
2324306654,41.81,939.38,680.11,0.6595,0.6449,0.8596,-0.001,24.32,,863997,0.863997,-0.26,6.059162331,6.151651957,68.82694466,12.06834426,,,,,4,3028.588266,-35.21335546,,4,3011.981888,15.08032615
2324378656,41.81,939.38,680.11,0.661,0.6466,0.8595,0.0007,24.33,,935999,0.935999,-0.26,6.625240488,6.793503125,68.78958863,17.18871347,,,,,,,,,,,
2324450654,41.81,939.38,680.11,0.6609,0.6461,0.8599,-0.0012,24.31,,1007997,1.007997,-0.26,6.587501944,6.604723369,68.93901275,11.46594788,,,,,,,,,,,
2324522656,41.79,939.35,680.37,0.6596,0.6448,0.8599,-0.0018,24.35,,1079999,1.079999,0,6.096900875,6.113896006,68.93901275,9.658758752,,,,,,,,,,,
2324594656,41.81,939.38,680.11,0.661,0.6466,0.8601,-0.0004,24.29,,1151999,1.151999,-0.26,6.625240488,6.793503125,69.01372481,13.87553339,,,,,,,,,,,
2324666654,41.81,939.38,680.11,0.6608,0.6462,0.8599,-0.0016,24.35,,1223997,1.223997,-0.26,6.5497634,6.64247932,68.93901275,10.26115513,,,,,,,,,,,
2324738655,41.81,939.38,680.11,0.6598,0.6447,0.86,-0.0008,24.31,,1295998,1.295998,-0.26,6.172377963,6.076140055,68.97636878,12.67074064,,,,,,,,,,,
2324810657,41.81,939.17,681.96,0.661,0.6467,0.8603,-0.001,24.33,,1368000,1.368,1.59,6.625240488,6.831259076,69.08843688,12.06834426,,,,,,,,,,,
2324882659,41.81,939.59,678.25,0.6611,0.6462,0.8598,-0.0009,24.33,,1440002,1.440002,-2.12,6.662979031,6.64247932,68.90165672,12.36954245,,,,,,,,,,,
2324954655,41.81,939.38,680.11,0.6597,0.6446,0.8599,-0.0015,24.33,,1511998,1.511998,-0.26,6.134639419,6.038384104,68.93901275,10.56235332,,,,,,,,,,,
2325026655,41.81,939.17,681.96,0.6608,0.6466,0.8605,-0.0005,24.29,,1583998,1.583998,1.59,6.5497634,6.793503125,69.16314894,13.57433521,,,,,,,,,,,
2325098657,41.81,939.38,680.11,0.6599,0.6447,0.8591,-0.0006,24.35,,1656000,1.656,-0.26,6.210116506,6.076140055,68.64016451,13.27313702,,,,,,,,,,,
2325170654,41.81,939.38,680.11,0.6596,0.6447,0.8599,-0.0006,24.31,,1727997,1.727997,-0.26,6.096900875,6.076140055,68.93901275,13.27313702,,,,,,,,,,,
2325242655,41.81,939.38,680.11,0.6608,0.6467,0.8607,-0.0015,24.33,,1799998,1.799998,-0.26,6.5497634,6.831259076,69.237861,10.56235332,,,,,,,,,,,
2325314654,41.81,939.17,681.96,0.6596,0.6449,0.8591,-0.0006,24.33,,1871997,1.871997,1.59,6.096900875,6.151651957,68.64016451,13.27313702,,,,,,,,,,,
2325386657,41.79,939.35,680.37,0.6596,0.6445,0.86,-0.0018,24.33,,1944000,1.944,0,6.096900875,6.000628153,68.97636878,9.658758752,,,,,,,,,,,
2325458656,41.79,939.35,680.37,0.6609,0.6465,0.8612,-0.0013,24.33,,2015999,2.015999,0,6.587501944,6.755747174,69.42464116,11.1647497,,,,,,,,,,,
2325530655,41.79,939.35,680.37,0.6598,0.6451,0.8599,-0.0018,24.35,,2087998,2.087998,0,6.172377963,6.227163859,68.93901275,9.658758752,,,,,,,,,,,
2325602655,41.81,939.59,678.25,0.6597,0.6446,0.8602,-0.0014,24.3,,2159998,2.159998,-2.12,6.134639419,6.038384104,69.05108085,10.86355151,,,,,,,,,,,
2325674657,41.79,939.35,680.37,0.6606,0.6463,0.8617,-0.0014,24.35,,2232000,2.232,0,6.474286313,6.680235272,69.61142131,10.86355151,,,,,,,,,,,
2325746654,41.81,939.38,680.11,0.6597,0.6452,0.8609,-0.0014,24.32,,2303997,2.303997,-0.26,6.134639419,6.26491981,69.31257306,10.86355151,,,,,,,,,,,
2325818655,41.81,939.17,681.96,0.6599,0.6448,0.8614,-0.0026,24.33,,2375998,2.375998,1.59,6.210116506,6.113896006,69.49935322,7.249173241,,,,,,,,,,,
2325890656,41.79,939.35,680.37,0.6609,0.6463,0.8621,-0.0015,24.33,,2447999,2.447999,0,6.587501944,6.680235272,69.76084543,10.56235332,,,,,,,,,,,
2325962654,41.81,939.38,680.11,0.6598,0.6449,0.8615,-0.0017,24.36,,2519997,2.519997,-0.26,6.172377963,6.151651957,69.53670925,9.95995694,,,,,,,,,,,
2326034655,41.79,939.35,680.37,0.6613,0.6462,0.8616,-0.0002,24.3,,2591998,2.591998,0,6.738456119,6.64247932,69.57406528,14.47792977,,,,,,,,,,,
2326106655,41.79,939.13,682.32,0.6608,0.6462,0.8621,0,24.35,,2663998,2.663998,1.95,6.5497634,6.64247932,69.76084543,15.08032615,,,,,,,,,,,
2326178656,41.79,939.35,680.37,0.6597,0.6448,0.8617,-0.0028,24.34,,2735999,2.735999,0,6.134639419,6.113896006,69.61142131,6.646776864,,,,,,,,,,,
2326250656,41.79,939.35,680.37,0.6612,0.6467,0.8616,-0.0002,24.33,,2807999,2.807999,0,6.700717575,6.831259076,69.57406528,14.47792977,,,,,,,,,,,
2326322655,41.81,939.38,680.11,0.6609,0.6461,0.862,-0.0025,24.33,,2879998,2.879998,-0.26,6.587501944,6.604723369,69.7234894,7.55037143,,,,,,,,,,,
2326394656,41.81,939.38,680.11,0.6597,0.645,0.8619,-0.0016,24.33,,2951999,2.951999,-0.26,6.134639419,6.189407908,69.68613337,10.26115513,,,,,,,,,,,
2326466656,41.79,939.13,682.32,0.6611,0.6467,0.8616,0.0006,24.3,,3023999,3.023999,1.95,6.662979031,6.831259076,69.57406528,16.88751528,,,,,,,,,,,
2326538657,41.81,939.38,680.11,0.6611,0.6462,0.8619,-0.0015,24.35,,3096000,3.096,-0.26,6.662979031,6.64247932,69.68613337,10.56235332,,,,,,,,,,,
2326610656,41.79,939.13,682.32,0.6596,0.6449,0.8619,-0.0028,24.3,,3167999,3.167999,1.95,6.096900875,6.151651957,69.68613337,6.646776864,,,,,,,,,,,
2326682656,41.79,939.13,682.32,0.6611,0.6466,0.8619,0.0001,24.31,,3239999,3.239999,1.95,6.662979031,6.793503125,69.68613337,15.38152434,,,,,,,,,,,
2326754656,41.81,939.38,680.11,0.6596,0.6444,0.8611,-0.0007,24.33,,3311999,3.311999,-0.26,6.096900875,5.962872202,69.38728512,12.97193883,,,,,,,,,,,
2326826656,41.79,939.35,680.37,0.6595,0.6448,0.862,-0.0024,24.31,,3383999,3.383999,0,6.059162331,6.113896006,69.7234894,7.851569619,,,,,,,,,,,
2326898655,41.81,939.38,680.11,0.661,0.6468,0.8624,-0.0009,24.29,,3455998,3.455998,-0.26,6.625240488,6.869015027,69.87291353,12.36954245,,,,,,,,,,,
2326970655,41.81,939.38,680.11,0.6598,0.6444,0.8611,-0.0009,24.35,,3527998,3.527998,-0.26,6.172377963,5.962872202,69.38728512,12.36954245,,,,,,,,,,,
2327042657,41.81,939.38,680.11,0.6598,0.6445,0.8618,-0.001,24.3,,3600000,3.6,-0.26,6.172377963,6.000628153,69.64877734,12.06834426,,,,,,,,,,,
2327114656,41.81,939.38,680.11,0.6609,0.6466,0.8625,-0.001,24.34,,3671999,3.671999,-0.26,6.587501944,6.793503125,69.91026956,12.06834426,,,,,,,,,,,
2327186655,41.81,939.38,680.11,0.6599,0.6446,0.8612,-0.0041,24.3,,3743998,3.743998,-0.26,6.210116506,6.038384104,69.42464116,2.731200409,,,,,,,,,,,
2327258655,41.81,939.38,680.11,0.6596,0.6447,0.8619,0.0004,24.33,,3815998,3.815998,-0.26,6.096900875,6.076140055,69.68613337,16.28511891,,,,,,,,,,,
2327340656,41.81,939.38,680.11,0.6611,0.6462,0.8626,0.0001,24.31,,3897999,3.897999,-0.26,6.662979031,6.64247932,69.94762559,15.38152434,,,,,,,,,,,
2327412655,41.81,939.38,680.11,0.6596,0.6448,0.8625,-0.002,24.35,,3969998,3.969998,-0.26,6.096900875,6.113896006,69.91026956,9.056362374,,,,,,,,,,,
2327484656,41.81,939.17,681.96,0.6613,0.6467,0.8626,-0.0008,24.28,,4041999,4.041999,1.59,6.738456119,6.831259076,69.94762559,12.67074064,,,,,,,,,,,
2327556657,41.81,939.38,680.11,0.6608,0.6462,0.8627,-0.0014,24.36,,4114000,4.114,-0.26,6.5497634,6.64247932,69.98498162,10.86355151,,,,,,,,,,,
2327628655,41.81,939.38,680.11,0.6596,0.6446,0.8629,-0.0007,24.32,,4185998,4.185998,-0.26,6.096900875,6.038384104,70.05969368,12.97193883,,,,,,,,,,,
2327700655,41.82,939.2,681.7,0.6609,0.6467,0.8633,-0.0007,24.32,,4257998,4.257998,1.33,6.587501944,6.831259076,70.20911781,12.97193883,,,,,,,,,,,
2327772656,41.81,939.38,680.11,0.6611,0.6462,0.8627,-0.0015,24.31,,4329999,4.329999,-0.26,6.662979031,6.64247932,69.98498162,10.56235332,,,,,,,,,,,
2327844656,41.82,939.41,679.84,0.6596,0.6446,0.8629,-0.003,24.32,,4401999,4.401999,-0.53,6.096900875,6.038384104,70.05969368,6.044380486,,,,,,,,,,,
2327916654,41.81,939.17,681.96,0.661,0.6468,0.8636,-0.0012,24.27,,4473997,4.473997,1.59,6.625240488,6.869015027,70.3211859,11.46594788,,,,,,,,,,,
2328044661,41.81,939.17,681.96,0.6596,0.6445,0.8628,-0.0026,24.33,,4602004,4.602004,1.59,6.096900875,6.000628153,70.02233765,7.249173241,,,,,,,,,,,
2328116657,41.81,939.38,680.11,0.6609,0.6466,0.8635,-0.0011,24.28,,4674000,4.674,-0.26,6.587501944,6.793503125,70.28382987,11.76714607,,,,,,,,,,,
2328188656,41.82,939.2,681.7,0.6611,0.6463,0.8626,-0.0008,24.35,,4745999,4.745999,1.33,6.662979031,6.680235272,69.94762559,12.67074064,,,,,,,,,,,
2328260656,41.82,939.41,679.84,0.6596,0.6446,0.8629,-0.0012,24.29,,4817999,4.817999,-0.53,6.096900875,6.038384104,70.05969368,11.46594788,,,,,,,,,,,
2328332656,41.82,939.41,679.84,0.6608,0.6468,0.8636,-0.0007,24.33,,4889999,4.889999,-0.53,6.5497634,6.869015027,70.3211859,12.97193883,,,,,,,,,,,
2328404656,41.82,939.2,681.7,0.6609,0.6466,0.8626,-0.002,24.32,,4961999,4.961999,1.33,6.587501944,6.793503125,69.94762559,9.056362374,,,,,,,,,,,
2328476656,41.81,939.17,681.96,0.6597,0.6445,0.8628,-0.0035,24.32,,5033999,5.033999,1.59,6.134639419,6.000628153,70.02233765,4.538389542,,,,,,,,,,,
2328548656,41.82,939.41,679.84,0.6607,0.6464,0.8638,0.0012,24.28,,5105999,5.105999,-0.53,6.512024856,6.717991223,70.39589796,18.69470442,,,,,,,,,,,
2328620655,41.81,939.17,681.96,0.6597,0.6449,0.8626,-0.0016,24.35,,5177998,5.177998,1.59,6.134639419,6.151651957,69.94762559,10.26115513,,,,,,,,,,,
2328692657,41.81,939.17,681.96,0.6598,0.6444,0.8629,-0.003,24.31,,5250000,5.25,1.59,6.172377963,5.962872202,70.05969368,6.044380486,,,,,,,,,,,
2328764656,41.82,939.2,681.7,0.6609,0.6462,0.8641,-0.0005,24.33,,5321999,5.321999,1.33,6.587501944,6.64247932,70.50796605,13.57433521,,,,,,,,,,,
2328836656,41.82,939.41,679.84,0.6598,0.645,0.8636,-0.0004,24.32,,5393999,5.393999,-0.53,6.172377963,6.189407908,70.3211859,13.87553339,,,,,,,,,,,
