Time (us),BMP Temp (C) ,BMP Pressure (kPa),BMP Alt (m),MS Temp ©,BMP Pressure (hPa),BMP Alt (m),acc_x (m/s2),acc_y (m/s2),acc_z (m/s2),Lat (deg),Long (deg),GPS Alt (m),Battery Voltage (V),,,Alt AGL BMP (m),Alt AGL MS (m)
3699872966,50.79,93.88,664.84,47.2,939.62,625.84,-9.89,-0.61,0.23,35.347222,-117.809277,628.6,8.12,,,0,0
3700008943,50.78,93.88,665.21,47.2,939.61,625.94,-9.92,-0.77,0.14,35.347222,-117.809277,628.6,8.1,,,0.37,0.1
3700144954,50.78,93.88,664.41,47.2,939.61,625.93,-9.81,-1.13,0.11,35.347222,-117.809277,628.6,8.1,,,-0.43,0.09
3700280956,50.76,93.88,664.94,47.2,939.6,626,-9.82,-0.9,0.27,35.347222,-117.809277,628.6,8.1,,,0.1,0.16
3700416941,50.76,93.88,664.78,47.2,939.63,625.7,-9.88,-0.88,0.22,35.347222,-117.809277,628.6,8.1,,,-0.06,-0.14
3700552937,50.76,93.88,663.9,47.2,939.57,626.36,-9.84,-1.03,0.17,35.347222,-117.809277,628.6,8.1,,,-0.94,0.52
3700688945,50.75,93.88,663.9,47.2,939.61,625.89,-9.85,-0.69,0.09,35.347222,-117.809277,628.6,8.1,,,-0.94,0.05
3700824961,50.75,93.88,664.28,47.2,939.61,625.95,-9.92,-0.85,0.27,35.347222,-117.809277,628.6,8.1,,,-0.56,0.11
3700960945,50.74,93.88,664.73,47.2,939.6,626.06,-9.83,-1.05,0.11,35.347222,-117.809277,628.6,8.1,,,-0.11,0.22
3701096941,50.74,93.87,664.44,47.2,939.61,625.97,-9.82,-0.88,0.27,35.347222,-117.809277,628.6,8.1,,,-0.4,0.13
3701232958,50.75,93.88,665.48,47.2,939.64,625.64,-9.97,-0.56,0.3,35.347222,-117.809277,628.6,8.1,,,0.64,-0.2
3701368962,50.75,93.88,664.73,47.2,939.57,626.3,-9.85,-1.11,0,35.347222,-117.809277,628.6,8.12,,,-0.11,0.46
